,"Time
t (s)","Current
 I (mA)","Magnetic field strength
 B (µT)","Background Temperature
T (°C)"
0,1,5072,4075,24
1,5,5068,4074,24
2,8,5065,4074,24
3,11,5062,4073,24
4,15,5057,4072,24
5,20,5051,4071,24
6,24,5049,4070,24
7,27,5046,4069,24
8,31,5042,4068,24
9,37,5037,4067,24
10,43,5031,4066,24
11,48,5027,4065,24
12,50,5025,4064,24
13,53,5022,4063,24
14,58,5018,4062,24
15,66,5012,4061,24
16,74,5008,4060,24
17,80,5003,4059,24
18,85,5000,4058,24
19,90,4997,4057,24
20,96,4992,4056,24
21,101,4989,4055,24
22,107,4985,4054,24
23,111,4982,4053,24
24,118,4978,4052,24
25,127,4973,4051,24
26,137,4970,4050,24
27,140,4965,4049,24
28,146,4962,4048,24
29,155,4958,4047,24
30,161,4955,4046,24
31,165,4953,4045,24
32,173,4949,4044,24
33,181,4945,4043,24
34,190,4941,4042,24
35,194,4939,4041,24
36,205,4935,4040,24
37,213,4931,4039,24
38,219,4929,4038,24
39,227,4925,4037,24
40,235,4922,4036,24
41,241,4919,4035,24
42,251,4916,4034,24
43,258,4913,4033,24
44,266,4909,4032,24
45,277,4907,4031,24
46,285,4905,4030,24
47,295,4903,4029,24
48,301,4902,4028,24
49,316,4900,4027,24
50,331,4896,4026,24
51,336,4895,4028,24
52,347,4891,4027,24
