"Time
t (s)","Current
 I (mA)","Magnetic field strength
 B (µT)","Background Temperature
T (°C)"
2,4905,3914,24
6,4900,3913,24
12,4895,3912,24
19,4891,3911,24
27,4888,3910,24
35,4885,3909,24
43,4881,3908,24
51,4877,3907,24
59,4873,3906,24
74,4869,3905,24
85,4865,3904,24
99,4861,3903,24
125,4857,3902,24
142,4852,3901,24
160,4848,3900,24
179,4844,3899,24
200,4839,3898,24
220,4836,3897,24
223,4836,3891,24
230,4833,3896,24
254,4829,3895,24
278,4825,3894,24
304,4822,3893,24
329,4818,3892,24
363,4814,3891,24
391,4810,3890,24
438,4807,3889,24
479,4804,3888,24
528,4800,3887,24
641,4797,3886,24
